ConflictId,Location,CumulativeIntensity,StartDate2,EpEndDate,lat,lon
1-190,Serbia (Yugoslavia),1,7/27/1991,12/31/1991,44.232971,20.79795837
1-191,Algeria,0,12/9/1991,NULL,28.213646,2.654728174
1-191,Algeria,1,12/9/1991,NULL,28.213646,2.654728174
1-192,Angola,0,6/3/1991,11/10/1991,-12.333555,17.53946495
1-192,Angola,0,12/31/1994,12/31/1994,-12.333555,17.53946495
1-192,Angola,0,5/22/1996,12/31/1998,-12.333555,17.53946495
1-192,Angola,0,11/12/2002,12/31/2002,-12.333555,17.53946495
1-192,Angola,0,2/10/2004,4/24/2004,-12.333555,17.53946495
1-192,Angola,0,12/31/2007,12/31/2007,-12.333555,17.53946495
1-192,Angola,0,12/31/2009,12/31/2009,-12.333555,17.53946495
1-193,Azerbaijan,0,12/30/1991,NULL,40.331005,47.80820084
1-193,Azerbaijan,1,12/30/1991,7/27/1994,40.331005,47.80820084
1-193,Azerbaijan,1,10/9/2005,12/5/2005,40.331005,47.80820084
1-193,Azerbaijan,1,9/11/2012,12/31/2012,40.331005,47.80820084
1-194,Bosnia-Herzegovina,1,4/30/1992,11/21/1995,44.165333,17.79024124
1-195,Croatia,0,5/17/1992,12/23/1993,45.444305,15.73450375
1-195,Croatia,1,5/1/1995,11/12/1995,45.444305,15.73450375
1-196,Egypt,0,3/10/1993,11/2/1998,26.756104,29.86229706
1-197,Georgia,0,8/18/1992,NULL,32.648323,-83.4445343
1-197,Georgia,1,8/18/1992,12/1/1993,32.648323,-83.4445343
1-198,Georgia,0,6/8/1992,7/14/1992,32.648323,-83.4445343
1-198,Georgia,0,8/19/2004,8/19/2004,32.648323,-83.4445343
1-198,Georgia,0,8/8/2008,8/14/2008,32.648323,-83.4445343
1-199,Moldova,0,3/17/1992,7/21/1992,47.203705,28.46834373
1-2,Cambodia (Kampuchea),0,8/31/1946,11/9/1953,12.570423,104.8139114
1-20,"India, Pakistan",1,12/31/1948,12/31/1948,23.406012,79.45809174
1-20,"India, Pakistan",1,12/31/1964,12/15/1965,23.406012,79.45809174
1-20,"India, Pakistan",1,12/3/1971,12/17/1971,23.406012,79.45809174
1-20,"India, Pakistan",1,12/31/1984,12/31/1984,23.406012,79.45809174
1-20,"India, Pakistan",1,12/31/1987,12/31/1987,23.406012,79.45809174
1-20,"India, Pakistan",1,12/31/1989,12/31/1992,23.406012,79.45809174
1-20,"India, Pakistan",1,12/31/1996,11/26/2003,23.406012,79.45809174
1-200,Tajikistan,1,5/10/1992,11/16/1998,38.879765,70.89906311
1-200,Tajikistan,1,9/6/2000,9/6/2000,38.879765,70.89906311
1-200,Tajikistan,1,9/9/2010,7/25/2011,38.879765,70.89906311
1-201,Azerbaijan,0,6/6/1993,6/18/1993,40.331005,47.80820084
1-201,Azerbaijan,0,3/17/1995,3/17/1995,40.331005,47.80820084
1-202,Bosnia-Herzegovina,0,10/5/1993,8/7/1995,44.165333,17.79024124
1-203,Bosnia-Herzegovina,1,1/15/1993,3/1/1994,44.165333,17.79024124
1-204,Russia (Soviet Union),0,10/3/1993,10/4/1993,63.125187,103.7539825
1-205,Mexico,0,1/1/1994,1/12/1994,23.909094,-102.6334
1-205,Mexico,0,9/16/1996,12/31/1996,23.909094,-102.6334
1-206,Russia (Soviet Union),0,11/26/1994,NULL,63.125187,103.7539825
1-206,Russia (Soviet Union),1,11/26/1994,8/31/1996,63.125187,103.7539825
1-206,Russia (Soviet Union),1,7/18/1999,10/7/2007,63.125187,103.7539825
1-207,Yemen (North Yemen),1,4/28/1994,7/4/1994,15.888388,47.48988724
1-208,"Ecuador, Peru",0,1/30/1995,2/17/1995,-1.4215289,-78.8710403
1-209,Pakistan,0,2/11/1990,2/11/1990,29.92322,69.35774231
1-209,Pakistan,0,5/3/1994,9/4/1996,29.92322,69.35774231
1-209,Pakistan,0,7/15/2007,NULL,29.92322,69.35774231
1-209,Pakistan,1,7/15/2007,NULL,29.92322,69.35774231
1-21,Madagascar (Malagasy),1,3/29/1947,12/31/1947,-19.272394,46.69843292
1-210,"Cameroon, Nigeria",0,5/7/1996,5/7/1996,5.6854768,12.7228775
1-212,Niger,0,7/10/1995,7/10/1995,17.424074,9.400633812
1-213,Comoros,0,9/5/1997,9/5/1997,-11.866102,43.43264008
1-214,Congo,0,11/11/1993,12/27/1993,-2.8798661,23.65637779
1-214,Congo,1,6/6/1997,12/31/1999,-2.8798661,23.65637779
1-214,Congo,1,4/10/2002,12/31/2002,-2.8798661,23.65637779
1-215,"Eritrea, Ethiopia",1,5/31/1998,6/18/2000,15.3972,39.08718872
1-216,Guinea-Bissau,0,6/7/1998,5/7/1999,12.115863,-14.7481365
1-217,Lesotho,0,9/22/1998,9/28/1998,-29.581753,28.24661255
1-218,Serbia (Yugoslavia),1,3/6/1998,6/30/1999,44.232971,20.79795837
1-219,Ethiopia,0,12/31/1977,12/31/1978,8.6267033,39.63755417
1-219,Ethiopia,0,12/31/1980,NULL,8.6267033,39.63755417
1-219,Ethiopia,1,12/31/1980,12/31/1981,8.6267033,39.63755417
1-219,Ethiopia,1,7/31/1983,6/30/1992,8.6267033,39.63755417
